STT,year,location_code,Tong_Import,Tong_Export,Balance
608,1965,VEN,1217070003,2837705985,1620635982
609,1965,VIR,411895,0,-411895
610,1965,VNM,409035911,47392757,-361643154
611,1965,VUT,34529955,56947612,22417657
612,1965,WSM,6144443,5312100,-832343
613,1965,YEM,4272093,3106042,-1166051
614,1965,ZAF,2235068946,1399106533,-835962413
615,1965,ZMB,131991762,488405946,356414184
616,1965,ZWE,163166439,213107765,49941326
617,1966,AGO,189979047,213391939,23412892
618,1966,ALB,19864678,4689231,-15175447
619,1966,AND,0,64903,64903
620,1966,ANT,733824029,604825203,-128998826
621,1966,ARG,1114935380,1776112393,661177013
622,1966,ATG,1091999,0,-1091999
623,1966,AUS,2883313930,3105276811,221962881
624,1966,AUT,2298939999,1511467368,-787472631
625,1966,BDI,13332879,19449555,6116676
626,1966,BEL,7551297455,7147022807,-404274648
627,1966,BEN,34949905,17490071,-17459834
628,1966,BFA,19951923,17863735,-2088188
629,1966,BGR,420359820,233326275,-187033545
630,1966,BHR,91770640,126055873,34285233
631,1966,BHS,203029359,31434969,-171594390
632,1966,BLZ,1604,5896,4292
633,1966,BMU,146647790,29279341,-117368449
634,1966,BOL,121030262,111050738,-9979524
635,1966,BRA,1436316226,1830237832,393921606
636,1966,BRB,51087764,26369452,-24718312
637,1966,BRN,44249002,83767205,39518203
638,1966,CAF,30830646,34238536,3407890
639,1966,CAN,9179157374,9822310230,643152856
640,1966,CHE,4233425828,3254632651,-978793177
641,1966,CHL,689100630,998480951,309380321
642,1966,CHN,1369162155,1631866456,262704301
